Match Number,Round Number,Date,Location,Home Team,Away Team,Result
265,30,02/04/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Galatasaray,
266,30,02/04/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Adana Demirspor,
267,30,02/04/2023 16:00,Kadir Has Stadium,Kayserispor,Kasimpasa,
268,30,02/04/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Fenerbahçe,
269,30,02/04/2023 16:00,Eryaman Stadium,Ankaragücü,Giresunspor,
270,30,02/04/2023 16:00,Vodafone Park,Besiktas,Hatayspor,
271,31,09/04/2023 16:00,Gaziantep Stadium,Gaziantep,Alanyaspor,
272,31,09/04/2023 16:00,Nef Stadium,Galatasaray,Fatih Karagümrük,
273,31,09/04/2023 16:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Besiktas,
274,31,09/04/2023 16:00,Antalya Stadium,Antalyaspor,Sivasspor,
275,31,09/04/2023 16:00,New Hatay Stadium,Hatayspor,Ankaragücü,
276,31,09/04/2023 16:00,Çotanak Sports Complex,Giresunspor,Istanbul Basaksehir,
277,31,09/04/2023 16:00,Sükrü Saracoglu Stadium,Fenerbahçe,Istanbulspor,
278,31,09/04/2023 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Konyaspor,
279,31,09/04/2023 16:00,New Adana Stadium,Adana Demirspor,Kayserispor,
280,32,16/04/2023 16:00,New Sivas 4 Eylül Stadium,Sivasspor,Fenerbahçe,
281,32,16/04/2023 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Antalyaspor,
282,32,16/04/2023 16:00,Bahçesehir Okullari Stadium,Alanyaspor,Ümraniyespor,
283,32,16/04/2023 16:00,Vodafone Park,Besiktas,Galatasaray,
284,32,16/04/2023 16:00,Konya Metropolitan Municipality Stadium,Konyaspor,Trabzonspor,
285,32,16/04/2023 16:00,Kadir Has Stadium,Kayserispor,Gaziantep,
286,32,16/04/2023 16:00,Eryaman Stadium,Ankaragücü,Kasimpasa,
287,32,16/04/2023 16:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Giresunspor,
288,32,16/04/2023 16:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Hatayspor,
289,33,23/04/2023 16:00,New Adana Stadium,Adana Demirspor,Alanyaspor,
290,33,23/04/2023 16:00,Gaziantep Stadium,Gaziantep,Fatih Karagümrük,
291,33,23/04/2023 16:00,Antalya Stadium,Antalyaspor,Besiktas,
