Match Number,Round Number,Date,Location,Home Team,Away Team,Result
63,7,18/09/2022 15:00,Artemio Franchi,Fiorentina,Hellas Verona,2 - 0
65,7,18/09/2022 15:00,Brianteo,Monza,Juventus,1 - 0
66,7,18/09/2022 18:00,Olimpico,Roma,Atalanta,0 - 1
64,7,18/09/2022 20:45,San Siro,Milan,Napoli,1 - 2
78,8,01/10/2022 15:00,Diego Armando Maradona,Napoli,Torino,3 - 1
74,8,01/10/2022 18:00,San Siro,Inter,Roma,1 - 2
72,8,01/10/2022 20:45,Carlo Castellani,Empoli,Milan,1 - 3
76,8,02/10/2022 12:30,Olimpico,Lazio,Spezia,4 - 0
77,8,02/10/2022 15:00,Via del mare,Lecce,Cremonese,1 - 1
79,8,02/10/2022 15:00,Luigi Ferraris,Sampdoria,Monza,0 - 3
80,8,02/10/2022 15:00,Città del Tricolore,Sassuolo,Salernitana,5 - 0
71,8,02/10/2022 18:00,Atleti Azzurri d'Italia,Atalanta,Fiorentina,1 - 0
75,8,02/10/2022 20:45,Juventus Stadium,Juventus,Bologna,3 - 0
73,8,03/10/2022 20:45,Marcantonio Bentegodi,Hellas Verona,Udinese,1 - 2
88,9,08/10/2022 15:00,Città del Tricolore,Sassuolo,Inter,1 - 2
84,9,08/10/2022 18:00,San Siro,Milan,Juventus,2 - 0
81,9,08/10/2022 20:45,Renato Dall'Ara,Bologna,Sampdoria,1 - 1
89,9,09/10/2022 12:30,Olimpico Grande Torino,Torino,Empoli,1 - 1
85,9,09/10/2022 15:00,Brianteo,Monza,Spezia,2 - 0
87,9,09/10/2022 15:00,Arechi,Salernitana,Hellas Verona,2 - 1
90,9,09/10/2022 15:00,Friuli,Udinese,Atalanta,2 - 2
82,9,09/10/2022 18:00,Giovanni Zini,Cremonese,Napoli,1 - 4
86,9,09/10/2022 20:45,Olimpico,Roma,Lecce,2 - 1
83,9,10/10/2022 20:45,Artemio Franchi,Fiorentina,Lazio,0 - 4
92,10,15/10/2022 15:00,Carlo Castellani,Empoli,Monza,
100,10,15/10/2022 18:00,Olimpico Grande Torino,Torino,Juventus,
91,10,15/10/2022 20:45,Atleti Azzurri d'Italia,Atalanta,Sassuolo,
94,10,16/10/2022 12:30,San Siro,Inter,Salernitana,
95,10,16/10/2022 15:00,Olimpico,Lazio,Udinese,
99,10,16/10/2022 15:00,Alberto Picco,Spezia,Cremonese,
97,10,16/10/2022 18:00,Diego Armando Maradona,Napoli,Bologna,
93,10,16/10/2022 20:45,Marcantonio Bentegodi,Hellas Verona,Milan,
98,10,17/10/2022 18:30,Luigi Ferraris,Sampdoria,Roma,
96,10,17/10/2022 20:45,Via del mare,Lecce,Fiorentina,
105,11,21/10/2022 20:45,Juventus Stadium,Juventus,Empoli,
108,11,22/10/2022 15:00,Arechi,Salernitana,Spezia,
106,11,22/10/2022 18:00,San Siro,Milan,Monza,
104,11,22/10/2022 20:45,Artemio Franchi,Fiorentina,Inter,
110,11,23/10/2022 12:30,Friuli,Udinese,Torino,
102,11,23/10/2022 15:00,Renato Dall'Ara,Bologna,Lecce,
101,11,23/10/2022 18:00,Atleti Azzurri d'Italia,Atalanta,Lazio,
107,11,23/10/2022 20:45,Olimpico,Roma,Napoli,
103,11,24/10/2022 18:30,Giovanni Zini,Cremonese,Sampdoria,
109,11,24/10/2022 20:45,Città del Tricolore,Sassuolo,Hellas Verona,
118,12,29/10/2022 15:00,Diego Armando Maradona,Napoli,Sassuolo,
116,12,29/10/2022 18:00,Via del mare,Lecce,Juventus,
114,12,29/10/2022 20:45,San Siro,Inter,Sampdoria,
112,12,30/10/2022 12:30,Carlo Castellani,Empoli,Atalanta,
111,12,30/10/2022 15:00,Giovanni Zini,Cremonese,Udinese,
119,12,30/10/2022 15:00,Alberto Picco,Spezia,Fiorentina,
115,12,30/10/2022 18:00,Olimpico,Lazio,Salernitana,
120,12,30/10/2022 20:45,Olimpico Grande Torino,Torino,Milan,
113,12,31/10/2022 18:30,Marcantonio Bentegodi,Hellas Verona,Roma,
117,12,31/10/2022 20:45,Brianteo,Monza,Bologna,
130,13,04/11/2022 20:45,Friuli,Udinese,Lecce,
123,13,05/11/2022 15:00,Carlo Castellani,Empoli,Sassuolo,
128,13,05/11/2022 15:00,Arechi,Salernitana,Cremonese,
121,13,05/11/2022 18:00,Atleti Azzurri d'Italia,Atalanta,Napoli,
125,13,05/11/2022 20:45,San Siro,Milan,Spezia,
122,13,06/11/2022 12:30,Renato Dall'Ara,Bologna,Torino,
126,13,06/11/2022 15:00,Brianteo,Monza,Hellas Verona,
129,13,06/11/2022 15:00,Luigi Ferraris,Sampdoria,Fiorentina,
127,13,06/11/2022 18:00,Olimpico,Roma,Lazio,
124,13,06/11/2022 20:45,Juventus Stadium,Juventus,Inter,
137,14,08/11/2022 18:30,Diego Armando Maradona,Napoli,Empoli,
139,14,08/11/2022 18:30,Alberto Picco,Spezia,Udinese,
